salary_min,description,title,salary_max,applications,page_number,location,published,link,found,id
84000.0,"  Data Scientist Contract | £400 per day | R/Hadoop/ Python /SQL London   Are you a Data Scientist looking to take the next step? Are you keen to move into a growing online brand at a pivotal time in their expansion? Are you looking to utilise your advanced statistic skills, in a fast paced, progressive...",Data Scientist Contract  £400 per day  R/Hadoop/Python/SQL,96000.0,1,1,London,2014-12-25T21:54:34.086105,http://www.reed.co.uk/jobs/data-scientist-contract-400-per-day-r-hadoop-python-sql/26253835#/jobs?keywords=python,2014-12-26T21:54:34.086466,26253835
22000.0," Developer ( Python  DJango, HTML CSS JavaScript)  Based Plymouth Innovative and award winning technology company are looking for a Developer who has both front-end and back end development experience using  Python  , HTML5 CSS and JavaScript .  This is an exciting to join this Hi Tec Company as they continue...","Web Developer (Python DJango, HTML CSS JavaScript)",32000.0,4,1,Plymouth,2014-12-12T00:00:00,http://www.reed.co.uk/jobs/web-developer-python-django-html-css-javascript/26200542#/jobs?keywords=python,2014-12-26T21:54:34.089024,26200542
50000.0,"  Lead Social Analyst  East London  £50,000 to £75,000 + Benefits  This is a great opportunity for an experienced Social Media Analyst to join one of the world's largest digital agencies at their modern East London offices. In this role you will be a senior member of an established team, responsible for...","Lead Social Analyst - Consultancy - Python, Radian 6, SQL",75000.0,0,1,London,2014-12-12T00:00:00,http://www.reed.co.uk/jobs/lead-social-analyst-consultancy-python-radian-6-sql/26199792#/jobs?keywords=python,2014-12-26T21:54:34.092153,26199792
30000.0,"  Decision Scientist |  Python  | R | C++ | SQL  Decision Scientist South East England £30,000 - £38,000 + bonus + pension  THE COMPANY  This is a fantastic opportunity to join a leading insurance company as a Decision Scientist in their growing analytics team. You will be responsible for carrying out bespoke...",Decision Scientist  Python  R  C++  SQL,38000.0,2,1,South East England,2014-12-12T00:00:00,http://www.reed.co.uk/jobs/decision-scientist-python-r-c-sql/26199752#/jobs?keywords=python,2014-12-26T21:54:34.095036,26199752
,"  Graduate Software Engineer (Computer Science Graduate Jobs)   Job Salary: Competitive  Job Location: Devon (near Plymouth, Tavistock, Saltash, Ivybridge, Yelverton areas)  Job Key Skills: Educated to degree level in Computer Science with expertise in  Python .  Job Summary: Computer Science graduate looking...",Graduate Software Engineer (Computer Science Graduate Jobs),,2,1,Devon,2014-12-12T00:00:00,http://www.reed.co.uk/jobs/graduate-software-engineer-computer-science-graduate-jobs/26198619#/jobs?keywords=python,2014-12-26T21:54:34.098363,26198619
45000.0," C++ /  PYTHON  DEVELOPER CAMBRIDGE £45,000 - £60,000  Our very reputable, scientific client are seeking an experienced C++ programmer with significant experience of  Python  and a good understanding of object-oriented library design. Your primary responsibility will be to develop, port and refactor user...",C++ / Python Developer,60000.0,1,1,Cambridge,2014-12-24T21:54:34.100259,http://www.reed.co.uk/jobs/c-python-developer/26252011#/jobs?keywords=python,2014-12-26T21:54:34.100624,26252011
,"  Degree qualified Software Test Automation Developer with  Python  expertise sought by renowned high-tech company, whose technology features in many of the world's latest consumer electronic products. Salary to £32K + Share Units + BUPA. Great first career move.   With a minimum of a 2.1 Bachelors Degree...",Software Test Automation Developer,,2,1,Watford,2014-12-16T00:00:00,http://www.reed.co.uk/jobs/software-test-automation-developer/25812669#/jobs?keywords=python,2014-12-26T21:54:34.102828,25812669
30000.0,"Software Test Automation Engineer /  Python  / Cambridge - 36K  Software Test Automation Engineer with around 2+ years automated software testing, unit testing and software quality experience is required by a leading client in Cambridge. You should have  Python  language experience, able to work on improving...",Software Test Automation Engineer / Python / Cambridge  - 36K,36000.0,1,1,Cambridge,2014-12-15T00:00:00,http://www.reed.co.uk/jobs/software-test-automation-engineer-python-cambridge-36k/26208555#/jobs?keywords=python,2014-12-26T21:54:34.104948,26208555
22000.0,"  Drupal Developer – Git / JavaScript / jQuery  Come and join us as digital specialists in Leeds city centre   Drupal Developer – Git / JavaScript / jQuery  Based in vibrant, creative office in Leeds city centre Holiday bonus scheme – private medical insurance - state of the art equipment Competitive...",Drupal Developer - JavaScript / Python /  jQuery / Git,30000.0,1,1,Leeds,2014-12-15T00:00:00,http://www.reed.co.uk/jobs/drupal-developer-javascript-python-jquery-git/26208369#/jobs?keywords=python,2014-12-26T21:54:34.107108,26208369
25000.0,   Python  Developer   Software House - Crewe    Python  / Django Database Design (PostgreSQL) Web Development (CSS / JavaScript / HTML) Agile methodologies Crewe £25K - £35K dependent on experience Call or email for further info.  We are looking for a talented and creative  Python  Programmer to produce high...,Python Developer - Django / PostgreSQL / HTML / AJAX,35000.0,0,1,Crewe,2014-12-15T00:00:00,http://www.reed.co.uk/jobs/python-developer-django-postgresql-html-ajax/26207396#/jobs?keywords=python,2014-12-26T21:54:34.109402,26207396
,"A highly successful international media firm is looking to recruit a proven Lead Web Developer with  Python  and PHP development skills. The successful candidate will operate from their offices in the London Bridge area, Central London, and as part of the Digital team will be responsible for developing...",PHP / Python - Global Media firm,,2,1,London,2014-12-19T21:54:34.111266,http://www.reed.co.uk/jobs/php-python-global-media-firm/26234601#/jobs?keywords=python,2014-12-26T21:54:34.111576,26234601
60000.0,"  Lead Data Scientist  London  £60,000 - £75,000 + benefits  My client is looking for a Data Scientist to join a dynamic team of insight and analysis professionals with a passion for data. You need to be someone who can lead a team of creative problem solvers with a flair for storytelling and advanced...",Lead Data Scientist - Social Media,75000.0,0,2,London,2014-12-19T21:54:37.555857,http://www.reed.co.uk/jobs/lead-data-scientist-social-media/26233848#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.556213,26233848
60000.0,"  Lead Data Scientist  London  £60,000 - £75,000 + benefits  My client is looking for a Data Scientist to join a dynamic team of insight and analysis professionals with a passion for data. You need to be someone who can lead a team of creative problem solvers with a flair for storytelling and advanced...",Lead Data Scientist - Social Media,75000.0,0,2,London,2014-12-19T21:54:37.558121,http://www.reed.co.uk/jobs/lead-data-scientist-social-media/26233843#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.558467,26233843
35000.0,"  Senior Data Analyst -  Python  (NumPy, SciPy, Pandas)   £35,000 - £55,000 depending on experience A performance-based bonus Potential share-scheme options further down the line  A first-class opportunity has arisen with an exciting and disruptive financial services start-up in Central London. You will...","Senior Data Analyst - Python NumPy, SciPy, Pandas",55000.0,3,2,London,2014-12-19T21:54:37.560408,http://www.reed.co.uk/jobs/senior-data-analyst-python-numpy-scipy-pandas/26233815#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.560761,26233815
25000.0,  Web Developers - PHP / Java / C# /  Python  - London  Web Developers / Developers are needed to create some of the most advanced technical solutions for the most highly regarded agencies in the world. Whether you are a Developer looking for your first job or an experienced developer wanting a change of...,Web Developers - PHP / Java / C# / Python - London,55000.0,14,2,London,2014-12-15T00:00:00,http://www.reed.co.uk/jobs/web-developers-php-java-c-python-london/26204574#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.563090,26204574
25000.0,"Are you a seriously talented PHP developer? Are you keen to gain new skills in  Python  and Django? Want to join a digital agency where you can have a huge impact on the future of the company? Then this is the one for you  They’re a really successful, Bath based digital agency with a really unique portfolio...",Senior PHP Developer - learn Python  Django!,35000.0,1,2,Bath,2014-12-19T21:54:37.565576,http://www.reed.co.uk/jobs/senior-php-developer-learn-python-django/26231437#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.566161,26231437
96000.0," Architect, Big Data, Hadoop,  Python , Java, C++, AWS, Big Data, Linux  My exclusive client are recruiting for a strong Big Data / Software Architect contractor in Manchester.  You must have strong experience of Architecture and previous experience of Architecting, Designing & Developing Big Data platforms...","Big Data Architect - Hadoop, Java, Python",120000.0,1,2,Manchester,2014-12-15T00:00:00,http://www.reed.co.uk/jobs/big-data-architect-hadoop-java-python/26203380#/jobs?keywords=python&cached=True&pageno=2,2014-12-26T21:54:37.569573,26203380
