id,updated_ladbrokes,registered_db,team_name,decimal_odds,fractional_odds
285,2016-07-01T21:45:15.865+01:00,2016-07-02T09:15:01.533440,France,3.5,5/2
286,2016-07-01T21:14:59.229+01:00,2016-07-02T09:15:01.533440,Germany,3.75,11/4
287,2016-07-02T08:56:51.656+01:00,2016-07-02T09:15:01.533440,Portugal,4.0,3/1
288,2016-07-01T22:16:40.331+01:00,2016-07-02T09:15:01.533440,Italy,6.5,11/2
289,2016-07-01T22:16:40.845+01:00,2016-07-02T09:15:01.533440,Wales,9.0,8/1
290,2016-06-27T22:05:22.879+01:00,2016-07-02T09:15:01.533440,Iceland,41.0,40/1
291,2016-07-02T22:51:10.068+01:00,2016-07-03T09:15:01.652951,Germany,2.3,13/10
292,2016-07-02T22:51:10.159+01:00,2016-07-03T09:15:01.652951,France,3.6,13/5
293,2016-07-02T22:51:10.16+01:00,2016-07-03T09:15:01.652951,Portugal,4.33333333333333,10/3
294,2016-07-02T15:35:53.553+01:00,2016-07-03T09:15:01.652951,Wales,8.5,15/2
295,2016-06-27T22:05:22.879+01:00,2016-07-03T09:15:01.652951,Iceland,41.0,40/1
296,2016-07-03T21:06:09.74+01:00,2016-07-04T09:15:01.299156,Germany,2.75,7/4
297,2016-07-03T21:03:43.449+01:00,2016-07-04T09:15:01.299156,France,2.75,7/4
298,2016-07-03T21:03:42.988+01:00,2016-07-04T09:15:01.299156,Portugal,4.33333333333333,10/3
299,2016-07-03T22:10:04.708+01:00,2016-07-04T09:15:01.299156,Wales,9.0,8/1
300,2016-07-04T09:16:21.766+01:00,2016-07-05T09:15:01.770914,Germany,2.8,9/5
301,2016-07-04T11:40:30.172+01:00,2016-07-05T09:15:01.770914,France,2.875,15/8
302,2016-07-04T11:38:44.968+01:00,2016-07-05T09:15:01.770914,Portugal,4.5,7/2
303,2016-07-04T10:16:57.695+01:00,2016-07-05T09:15:01.770914,Wales,8.5,15/2
304,2016-07-04T09:16:21.766+01:00,2016-07-06T09:15:01.978222,Germany,2.8,9/5
305,2016-07-04T11:40:30.172+01:00,2016-07-06T09:15:01.978222,France,2.875,15/8
306,2016-07-04T11:38:44.968+01:00,2016-07-06T09:15:01.978222,Portugal,4.5,7/2
307,2016-07-04T10:16:57.695+01:00,2016-07-06T09:15:01.978222,Wales,8.5,15/2
308,2016-07-06T21:50:13.829+01:00,2016-07-07T09:15:01.170185,Portugal,2.8,9/5
309,2016-07-06T21:50:13.248+01:00,2016-07-07T09:15:01.170185,Germany,2.875,15/8
310,2016-07-04T11:40:30.172+01:00,2016-07-07T09:15:01.170185,France,2.875,15/8
311,2016-07-07T21:47:04.167+01:00,2016-07-08T09:15:01.411338,France,1.44444444444444,4/9
312,2016-07-07T21:47:11.315+01:00,2016-07-08T09:15:01.411338,Portugal,2.875,15/8
313,2016-07-07T21:47:04.167+01:00,2016-07-09T09:15:01.219340,France,1.44444444444444,4/9
314,2016-07-07T21:47:11.315+01:00,2016-07-09T09:15:01.219340,Portugal,2.875,15/8
