用户,评论,时间
350192581,什么时候来玩，打我电话，我还给你剥小龙虾……,2017-04-08 01:24:22
350204346,我爱你  如果我此生只能给你拥抱 和不放开你的手，你愿不愿意跟我走 我爱你，如果有一天你觉得越相爱越是场意外那就请你悄悄在月光下找个男孩把我取代,2017-04-08 01:23:55
350199465,🤔那你现在找到最多的是多少,2017-04-08 01:23:54
350198456,在我死了以后把我的骨灰带在身上，遇到坏人就扬出去，让我再保护你最后一次 我爱你 为了寻找你 我搬进鸟的眼睛 经常盯着路过的风 也忘了听猎人的枪声 我爱你，就算你一身污秽如刺猬，也有我双手拥抱不忌讳，再见。 我爱你！好想学一种可以伴你一生的咒语，哪怕是做你的宠物狗也可以！ 我爱你  如果我此,2017-04-08 01:23:02
350195494,从前从前 有个人爱你很久 但偏偏风渐渐 把距离吹得好远 好远好远……,2017-04-08 01:23:00
350198454,4.29，西安地表最强，约好了，和我现在最爱的人。,2017-04-08 01:22:55
350202350,吓死我了刚刚……   以为有人在推宿舍门，然后我就惊叫了一声……  天哪好可怕[流泪][流泪]   以前就有别的宿舍半夜进小偷的事情发生……   瞬间吓到心脏狂跳……,2017-04-08 01:22:22
350188704,我也刚好想找评论最多的到底有多少,2017-04-08 01:21:51
350193517,我爱你  别为了不属于你的观众 演绎你不擅长的人生 反正谢幕后的每次相逢 都有我捧着鲜花 把你拥入怀中我爱你！我用半生温柔，相濡以沫陪你赌，你又怎么舍得让我输。我爱你  如果我此生只能给你拥抱 和不放开你的手，你愿不愿意跟我走我爱你，就算你满嘴谎言，仍有我痴心不变 我爱你，在我死了以后把我,2017-04-08 01:21:33
350196509,深夜睡不着的我活跃在网易云,2017-04-08 01:21:19
350194519,举手,2017-04-08 01:20:54
350197435,重庆见,2017-04-08 01:20:45
350198403,为什么……越来越…清醒……甚至…还有点饿了……,2017-04-08 01:20:29
350204271,在网易云看过评论数最多的一首😂还有超越的吗？,2017-04-08 01:20:23
350206127,听到的都是回忆。,2017-04-08 01:18:05
350191528,我我我,2017-04-08 01:17:56
350205169,愿天使守护你我,2017-04-08 01:16:59
350193436,我要努力睡觉，你也……加油！,2017-04-08 01:16:53
350196423,刚刚从深圳演唱会回来的朋友举手🙋！,2017-04-08 01:16:13
350192412,我一直在想这个问题，想着想着就失眠了……,2017-04-08 01:16:12
350183957,(σﾟ∀ﾟ)σ..:*☆哎哟不错哦,2017-04-08 01:15:58
350191476,早知道现在还没睡着我特么还不如写作业去了啊[流泪],2017-04-08 01:15:13
350186612,这个点还在听这首歌的人都是天使👼,2017-04-08 01:14:21
350206047,为什么会失眠,2017-04-08 01:13:50
350197270,我也……  想哭……,2017-04-08 01:12:52
350192328,我没睡，因为我失眠了……,2017-04-08 01:11:44
350192273,2017.4.7   深圳地表最强，我终于听了现场,2017-04-08 01:08:55
350184543,时间啊你慢点,2017-04-08 01:08:54
350179928,隔了六七年 再听也还是爱你,2017-04-08 01:08:30
350188400,男生都是早上洗頭洗澡吧 我還專門去問過原因,2017-04-08 01:07:15
350203014,有没睡的吗，看着评论往事飘过，现在的我好迷茫啊,2017-04-08 01:07:12
350185491,7位数，可怕,2017-04-08 01:07:06
350193223,这首歌是迄今为止我见到评论最多的了，jay，谢谢你陪我度过了初恋3年,2017-04-08 01:06:33
350192219,你是男生嘛,2017-04-08 01:06:15
350180980,我洗澡。。😄,2017-04-08 01:06:07
350193213,我也是[惶恐][惶恐],2017-04-08 01:05:57
350197102,为什么你也要喜欢杰伦，回忆在翻滚，好痛苦。我都不敢听歌了怎么办,2017-04-08 01:05:04
350185433,我C！！！100多万？？不行，我滴眼药水，肯定是眼睛花了没错！！,2017-04-08 01:04:48
350176990,晚安。打卡咯,2017-04-08 01:04:27
350193153,完全没有睡意[惊恐][惊恐][惊恐]。,2017-04-08 01:03:41
350184428,这个数字让我感到恐惧,2017-04-08 01:03:38
350184410,你之前的人生我没有参与过，是我的遗憾，以后，想一直跟你走下去，故事的最后不要跟我说拜拜。西瓜冬瓜南瓜怎么没北瓜,2017-04-08 01:03:06
350193123,有人问云村那首歌评论最多？答案是周杰伦的晴天。有人说：没有比听周杰伦的歌可以更快的回的从前。频频点头说好,2017-04-08 01:02:36
350193116,现在的我超清醒，清醒到可以出去跑两圈的那种,2017-04-08 01:02:26
350189251,很久,2017-04-08 01:02:06
350191198,再见,2017-04-08 01:01:58
350186331,原來短髮都有同樣的習慣,2017-04-08 01:01:09
350184363,我试过忘记你 可是我没做到  不过已经不爱了 记不记得好像也没什么关系了 只是原来曾经也有人因为我喜欢一首歌而学了很久 只为了唱给我听,2017-04-08 01:01:07
350191140,就算没抢到票我也要去[大哭]场外vip  有木有组队的  坐标天津,2017-04-08 00:59:40
350195029,我也是[惊恐][惊恐],2017-04-08 00:59:31
350178755,那时候真的是好喜欢这首歌。曾经以为那个，说爱我很久很久的人是你。后来呀！经过了两年，我终于将你放下了。,2017-04-08 00:59:16
350193044,前奏真的棒，时间一下子飞速倒回[爱心]听一次留一次言，现在大二谈了人生第一个女朋友，一定要好好对她，[爱心],2017-04-08 00:59:11
350175925,从前从前，有个人爱你很久～我又来了,2017-04-08 00:58:51
350176855,听周杰伦的歌，随机播放，听到那首播放的歌了。就突然觉得很好听，然后就单曲循环了。,2017-04-08 00:58:47
350182706,……我也是短发…,2017-04-08 00:58:41
